underlying,ts,bid,ask,spot,runbet_spot
frxAUDJPY,2014-04-29 16:22:51,95.033,95.045,95.038,95.038
frxAUDJPY,2014-04-29 16:22:52,95.031,95.04,95.036,95.036
frxAUDJPY,2014-04-29 16:22:53,95.027,95.047,95.037,95.037
frxAUDJPY,2014-04-29 16:22:54,95.026,95.052,95.037,95.037
frxAUDJPY,2014-04-29 16:22:55,95.03,95.045,95.037,95.037
frxAUDJPY,2014-04-29 16:22:56,95.031,95.046,95.038,95.038
frxAUDJPY,2014-04-29 16:22:57,95.031,95.043,95.037,95.037
frxAUDJPY,2014-04-29 16:22:59,95.025,95.052,95.038,95.038
frxAUDJPY,2014-04-29 16:23:02,95.035,95.044,95.038,95.038
frxAUDJPY,2014-04-29 16:23:03,95.027,95.049,95.038,95.038
frxAUDJPY,2014-04-29 16:23:04,95.03,95.05,95.041,95.041
frxAUDJPY,2014-04-29 16:23:05,95.039,95.047,95.042,95.042
frxAUDJPY,2014-04-29 16:23:06,95.033,95.048,95.044,95.044
frxAUDJPY,2014-04-29 16:23:07,95.039,95.046,95.042,95.042
frxAUDJPY,2014-04-29 16:23:08,95.034,95.043,95.04,95.04
frxAUDJPY,2014-04-29 16:23:09,95.032,95.05,95.041,95.041
frxAUDJPY,2014-04-29 16:23:10,95.029,95.056,95.047,95.047
frxAUDJPY,2014-04-29 16:23:11,95.036,95.047,95.041,95.041
frxAUDJPY,2014-04-29 16:23:12,95.033,95.047,95.046,95.046
frxAUDJPY,2014-04-29 16:23:13,95.032,95.047,95.04,95.04
frxAUDJPY,2014-04-29 16:23:14,95.029,95.039,95.035,95.035
frxAUDJPY,2014-04-29 16:23:15,95.032,95.043,95.036,95.036
frxAUDJPY,2014-04-29 16:23:16,95.034,95.04,95.037,95.037
frxAUDJPY,2014-04-29 16:23:17,95.025,95.047,95.036,95.036
frxAUDJPY,2014-04-29 16:23:19,95.034,95.041,95.036,95.036
frxAUDJPY,2014-04-29 16:23:20,95.034,95.04,95.036,95.036
frxAUDJPY,2014-04-29 16:23:21,95.029,95.039,95.035,95.035
frxAUDJPY,2014-04-29 16:23:22,95.034,95.04,95.036,95.036
frxAUDJPY,2014-04-29 16:23:24,95.026,95.047,95.035,95.035
frxAUDJPY,2014-04-29 16:23:25,95.03,95.046,95.037,95.037
frxAUDJPY,2014-04-29 16:23:26,95.036,95.047,95.04,95.04
frxAUDJPY,2014-04-29 16:23:27,95.028,95.054,95.04,95.04
frxAUDJPY,2014-04-29 16:23:28,95.035,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:23:29,95.038,95.048,95.042,95.042
frxAUDJPY,2014-04-29 16:23:30,95.037,95.049,95.045,95.045
frxAUDJPY,2014-04-29 16:23:31,95.031,95.051,95.041,95.041
frxAUDJPY,2014-04-29 16:23:32,95.038,95.049,95.042,95.042
frxAUDJPY,2014-04-29 16:23:33,95.027,95.058,95.044,95.044
frxAUDJPY,2014-04-29 16:23:34,95.02,95.12,95.059,95.059
frxAUDJPY,2014-04-29 16:23:35,95.033,95.048,95.048,95.048
frxAUDJPY,2014-04-29 16:23:36,95.017,95.067,95.042,95.042
frxAUDJPY,2014-04-29 16:23:38,95.032,95.049,95.041,95.041
frxAUDJPY,2014-04-29 16:23:39,95.032,95.04,95.036,95.036
frxAUDJPY,2014-04-29 16:23:40,95.028,95.046,95.036,95.036
frxAUDJPY,2014-04-29 16:23:41,95.029,95.046,95.036,95.036
frxAUDJPY,2014-04-29 16:23:42,95.027,95.042,95.035,95.035
frxAUDJPY,2014-04-29 16:23:43,95.032,95.043,95.037,95.037
frxAUDJPY,2014-04-29 16:23:44,95.034,95.05,95.041,95.041
frxAUDJPY,2014-04-29 16:23:48,95.027,95.061,95.043,95.043
frxAUDJPY,2014-04-29 16:23:51,95.038,95.044,95.041,95.041
frxAUDJPY,2014-04-29 16:23:52,95.037,95.044,95.04,95.04
frxAUDJPY,2014-04-29 16:23:53,95.035,95.051,95.042,95.042
frxAUDJPY,2014-04-29 16:23:54,95.031,95.052,95.041,95.041
frxAUDJPY,2014-04-29 16:23:56,95.034,95.052,95.042,95.042
frxAUDJPY,2014-04-29 16:23:57,95.033,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:23:58,95.04,95.049,95.044,95.044
frxAUDJPY,2014-04-29 16:23:59,95.038,95.054,95.046,95.046
frxAUDJPY,2014-04-29 16:24:00,95.01,95.11,95.054,95.054
frxAUDJPY,2014-04-29 16:24:01,95.035,95.054,95.045,95.045
frxAUDJPY,2014-04-29 16:24:02,95.02,95.12,95.06,95.06
frxAUDJPY,2014-04-29 16:24:03,95.035,95.053,95.044,95.044
frxAUDJPY,2014-04-29 16:24:04,95.031,95.057,95.043,95.043
frxAUDJPY,2014-04-29 16:24:05,94.99,95.09,95.041,95.041
frxAUDJPY,2014-04-29 16:24:06,95.036,95.051,95.043,95.043
frxAUDJPY,2014-04-29 16:24:07,95.035,95.051,95.043,95.043
frxAUDJPY,2014-04-29 16:24:08,95.031,95.057,95.043,95.043
frxAUDJPY,2014-04-29 16:24:09,95.032,95.058,95.044,95.044
frxAUDJPY,2014-04-29 16:24:10,95.032,95.048,95.038,95.038
frxAUDJPY,2014-04-29 16:24:11,95.028,95.044,95.036,95.036
frxAUDJPY,2014-04-29 16:24:12,95.028,95.044,95.036,95.036
frxAUDJPY,2014-04-29 16:24:13,95.037,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:24:14,95.026,95.058,95.039,95.039
frxAUDJPY,2014-04-29 16:24:15,95.032,95.055,95.043,95.043
frxAUDJPY,2014-04-29 16:24:16,95.032,95.051,95.042,95.042
